Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,"Polarized capacitor, US symbol",CP1,C2,100uF,CP_Radial_D8.0mm_P5.00mm,1,~
2,Unpolarized capacitor,C,C1,33nF,C_Rect_L7.5mm_W6.5mm_P5.00mm,1,~
3,"Diode, filled shape",D_ALT,D1,D_ALT,D_DO-35_SOD27_P7.62mm_Horizontal,1,~
4,"Audio Jack, 2 Poles (Mono / TS), Grounded Sleeve",AudioJack2_Ground,J2,3.5 Audio mono,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,~
5,,Arduino_Nano_Header,J1,Arduino_Nano_Header,arduino_nano_header,1,
6,DC Barrel Jack with a mounting pin,Barrel_Jack_MountingPin,J5,"DC 9V, 5.5x2.1mm",BarrelJack_Horizontal,1,~
7,5-pin DIN connector (5-pin DIN-5 stereo),DIN-5_180degree,J3,MIDI-in,din-5,1,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf
8,5-pin DIN connector (5-pin DIN-5 stereo),DIN-5_180degree,J4,MIDI-out,din-5,1,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf
9,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J6,OLED Display SSD1306,PinHeader_1x04_P2.54mm_Vertical,1,~
10,Resistor,R,R7 R8 R9 R10 R11 R12 R13 R14 R15,10K,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,9,~
11,,R,R3,1K,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,1,
12,,R,R6,"2,2K",R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,1,
13,,R,R1 R4 R5,220,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,3,
14,,R,R2,470,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,1,
15,Trim-potentiometer,R_POT_TRIM,RV1 RV2 RV3 RV4 RV5,10K,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,5,~
16,,KY-040,SW2,KY-040,PinHeader_1x05_P2.54mm_Vertical,1,
17,Single Pole Single Throw (SPST) switch,SW_SPST,SW1,MIDI<-->USB,PinHeader_1x02_P2.54mm_Vertical,1,
18,"Push button switch, generic, two pins",SW_Push,SW3 SW4 SW5 SW6 SW7 SW8 SW9,SW_Push,PinHeader_1x02_P2.54mm_Vertical,7,
19,Single Pole Single Throw (SPST) switch,SW_SPST,SW10 SW11,SW_SPST,PinHeader_1x02_P2.54mm_Vertical,2,
20,"Low Input Current high Gain Split Darlington Optocouplers, -0.5V to 7V VDD, DIP-8",6N138,U2,6N138,DIP-8_W7.62mm_LongPads,1,http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf





Component Groups:,20
Component Count:,41
Fitted Components:,41
Number of PCBs:,1
Total components:,41
Schematic Version:,
Schematic Date:,
BoM Date:,Sa 24 Sep 2022 23:26:02 CEST
Schematic Source:,/home/os/zdi/music-workshop/arduino-synth/nanosynth/nanosynth.sch
KiCad Version:,Eeschema 5.0.2+dfsg1-1~bpo9+1
